# Rime user dictionary
#@/db_name	cangjie5
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1278
#@/user_id	d06b849a-f2b9-43d0-a3a2-e519e294079d
mng 	型	c=1 d=0.0309618 t=1278
mnmbc 	頂	c=1 d=0.362402 t=1278
mnr 	可	c=2 d=0.251434 t=1278
mojka 	豬	c=3 d=2.71481 t=1278
moo 	巫	c=1 d=0.142274 t=1278
mrmlk 	硬	c=2 d=0.00489768 t=1278
mrno 	歌	c=3 d=1.51147 t=1278
mrpsh 	砌	c=1 d=1 t=1278
mrptd 	碟	c=1 d=0.00181803 t=1278
mrt 	豆	c=1 d=0.343009 t=1278
mrttc 	碰	c=1 d=0.161218 t=1278
mtmbc 	頭	c=4 d=2.04903 t=1278
mwd 	栗	c=1 d=0.199888 t=1278
mwmmf 	票	c=1 d=0.0161635 t=1278
mwtog 	醛	c=1 d=0.105928 t=1278
mwv 	要	c=1 d=0.062662 t=1278
my 	下	c=2 d=0.0100855 t=1278
nau 	色	c=1 d=0.341298 t=1278
nbg 	角	c=2 d=0.298185 t=1278
nc 	小	c=1 d=0.529935 t=1278
nd 	子	c=2 d=0.329624 t=1278
ndbuc 	孭	c=1 d=0.479505 t=1278
nili 	強	c=1 d=0.0531307 t=1278
nini 	多	c=1 d=0.00535353 t=1278
nir 	名	c=3 d=0.0209487 t=1278
niy 	外	c=7 d=0.0605131 t=1278
nlav 	限	c=1 d=0.119433 t=1278
nldw 	陳	c=4 d=1.99193 t=1278
nlmmu 	阮	c=1 d=0.0167392 t=1278
nlnhx 	陷	c=2 d=0.00978673 t=1278
nlomd 	除	c=3 d=0.122519 t=1278
nlomo 	險	c=1 d=0.0678809 t=1278
nltt 	阱	c=2 d=0.00983578 t=1278
nmfb 	彌	c=1 d=0.075774 t=1278
nmp 	急	c=1 d=0.336216 t=1278
nn 	了	c=1 d=0.00663763 t=1278
nnmbc 	預	c=3 d=0.12031 t=1278
nsmv 	張	c=1 d=0.157237 t=1278
ntnl 	鄧	c=1 d=0.00357068 t=1278
nwf 	魚	c=3 d=0.988075 t=1278
o 	人	c=8 d=0.915428 t=1278
oam 	但	c=2 d=0.118158 t=1278
ob 	內	c=1 d=0.0780817 t=1278
obo 	肉	c=4 d=2.93585 t=1278
obq 	佣	c=1 d=0.04573 t=1278
ocsh 	份	c=1 d=0.0424257 t=1278
odf 	煲	c=1 d=0.207008 t=1278
odi 	付	c=3 d=0.474182 t=1278
oge 	雙	c=1 d=0.310367 t=1278
ogg 	佳	c=1 d=0.346456 t=1278
ogsk 	傲	c=1 d=0.123687 t=1278
oh 	入	c=3 d=0.406238 t=1278
ohdi 	俬	c=2 d=0.397834 t=1278
ohnb 	佩	c=1 d=0.241714 t=1278
ohq 	件	c=2 d=0.0827633 t=1278
ohs 	入戶	c=1 d=0.0862936 t=1278
ohvf 	係	c=3 d=0.0620114 t=1278
oimbc 	領	c=1 d=0.856415 t=1278
oini 	令	c=1 d=0.229925 t=1278
oino 	飲	c=1 d=0.010358 t=1278
oiolb 	飾	c=1 d=0.677057 t=1278
oip 	代	c=4 d=0.472213 t=1278
ojbm 	值	c=2 d=0.828413 t=1278
ojmo 	傢	c=3 d=0.473155 t=1278
ojr 	估	c=5 d=0.142254 t=1278
ojrk 	做	c=3 d=0.141111 t=1278
okhdv 	矮	c=1 d=0.232236 t=1278
okr 	知	c=1 d=0.00301245 t=1278
ol 	仲	c=1 d=0.0026852 t=1278
olnk 	候	c=1 d=0.615697 t=1278
oloh 	修	c=1 d=0.108067 t=1278
omd 	余	c=4 d=0.468327 t=1278
omg 	全	c=1 d=0.0608101 t=1278
omlk 	便	c=1 d=0.151829 t=1278
omm 	仁	c=1 d=0.0237541 t=1278
omnr 	何	c=3 d=0.0169212 t=1278
omwa 	會	c=2 d=1.13728 t=1278
omwc 	價	c=6 d=0.192765 t=1278
ond 	仔	c=1 d=0.00680566 t=1278
onf 	你	c=6 d=1.33467 t=1278
onfd 	氣	c=2 d=0.516551 t=1278
onkq 	健	c=2 d=0.520332 t=1278
oos 	作	c=1 d=0.0867261 t=1278
op 	化	c=3 d=1.52188 t=1278
opbuc 	貨	c=1 d=0.00625109 t=1278
oq 	年	c=4 d=0.129913 t=1278
ord 	保	c=3 d=0.142173 t=1278
orybp 	龕	c=1 d=0.00214418 t=1278
osk 	伊	c=2 d=0.309724 t=1278
ota 	借	c=2 d=0.0819495 t=1278
othb 	備	c=1 d=0.0305009 t=1278
otniq 	舞	c=1 d=0.00384878 t=1278
ou 	仙	c=1 d=0.38868 t=1278
outrg 	罐	c=1 d=0.210136 t=1278
ovio 	似	c=1 d=0.00657159 t=1278
owjr 	個	c=3 d=0.183193 t=1278
oyt 	位	c=1 d=0.00215492 t=1278
p 	心	c=1 d=0.00472447 t=1278
pcru 	悅	c=2 d=0.112559 t=1278
pd 	也	c=1 d=0.172907 t=1278
pdk 	快	c=1 d=0.182684 t=1278
pdlc 	懶	c=2 d=0.166277 t=1278
pmam 	恒	c=1 d=0.323033 t=1278
pmbm 	恆	c=1 d=0.0330412 t=1278
pmmr 	悟	c=1 d=0.00414854 t=1278
pn 	乜	c=1 d=0.00259284 t=1278
pqmb 	情	c=1 d=0.299692 t=1278
pru 	包	c=1 d=0.0122161 t=1278
psh 	切	c=3 d=0.907399 t=1278
pu 	屯	c=1 d=0.120032 t=1278
puln 	刨	c=1 d=0.0043831 t=1278
q 	手	c=11 d=1.92735 t=1278
qamo 	提	c=1 d=0.00197932 t=1278
qapv 	揭	c=9 d=0.458726 t=1278
qdwf 	揀	c=1 d=0.278037 t=1278
qhp 	托	c=1 d=0.090718 t=1278
qjcm 	控	c=1 d=0.606531 t=1278
qjcn 	挖	c=1 d=0.162026 t=1278
qje 	技	c=6 d=0.0505968 t=1278
qjsmp 	慧	c=2 d=0.0289611 t=1278
qjv 	按	c=11 d=0.533243 t=1278
qke 	泰	c=1 d=0.0224829 t=1278
qkus 	拋	c=1 d=0.826959 t=1278
qmb 	青	c=1 d=0.690734 t=1278
qmn 	打	c=7 d=0.0825219 t=1278
qmv 	表	c=1 d=0.00465413 t=1278
qnbk 	換	c=2 d=0.578218 t=1278
qobuu 	規	c=1 d=0.00918669 t=1278
qpa 	指	c=1 d=0.0495388 t=1278
qpp 	批	c=1 d=0.126818 t=1278
qsmb 	掃	c=1 d=0.0117959 t=1278
qtw 	描	c=1 d=0.0118551 t=1278
qyt 	拉	c=1 d=0.00499159 t=1278
r 	口	c=1 d=0.00726273 t=1278
raiu 	嘅	c=2 d=0.0735469 t=1278
rbm 	咀	c=1 d=0.67032 t=1278
rc 	只	c=1 d=0.116484 t=1278
rkm 	咗	c=2 d=0.129697 t=1278
rks 	另	c=1 d=0.00244185 t=1278
rmy 	吓	c=1 d=0.00367942 t=1278
rmylc 	跡	c=1 d=0.00375375 t=1278
ron 	吃	c=1 d=0.00543443 t=1278
rrwj 	單	c=2 d=0.183948 t=1278
rsln 	別	c=1 d=0.100259 t=1278
rsqf 	嗎	c=2 d=1.06217 t=1278
rssqf 	跨馬	c=1 d=0.806541 t=1278
rsypu 	號	c=2 d=0.0854418 t=1278
rtm 	咁	c=1 d=0.625002 t=1278
rumr 	啱	c=2 d=0.00443002 t=1278
sebuc 	賢	c=1 d=0.139457 t=1278
seog 	匯	c=2 d=0.0413338 t=1278
sfd 	屎	c=1 d=0.163654 t=1278
sfomo 	驗	c=3 d=0.805634 t=1278
sh 	刀	c=3 d=1.37063 t=1278
sj 	耳	c=1 d=0.162838 t=1278
sjhwp 	聰	c=1 d=0.860708 t=1278
sjr 	居	c=3 d=0.549395 t=1278
smha 	習	c=1 d=0.0127147 t=1278
smig 	屋	c=4 d=0.0587174 t=1278
smr 	司	c=3 d=0.347214 t=1278
smyoj 	翠	c=1 d=0.135335 t=1278
sqnl 	那	c=1 d=0.146607 t=1278
sqsf 	馬	c=2 d=0.148509 t=1278
srno 	歐	c=1 d=0.00406639 t=1278
srtq 	群	c=1 d=0.133989 t=1278
su 	已	c=1 d=0.0239928 t=1278
